,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
0,Team,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305,TOR,2014
1,Team/G,243.4,36.5,81.9,.445,8.7,23.4,.372,27.8,58.5,.475,19.6,25.1,.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,TOR,2014
2,Lg,2,24,23,22,9,11,9,28,23,23,6,7,5,12,20,17,21,25,23,9,29,13,TOR,2014
3,Opponent,19955,2957,6573,.450,568,1578,.360,2389,4995,.478,1557,2071,.752,854,2505,3359,1719,596,352,1224,1815,8039,TOR,2014
4,Opponent/G,243.4,36.1,80.2,.450,6.9,19.2,.360,29.1,60.9,.478,19.0,25.3,.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0,TOR,2014
5,Lg,2,5,6,10,7,6,16,10,14,9,24,24,7,8,5,4,10,9,11,13,5,7,TOR,2014
6,Team,19855,3108,6829,.455,726,2060,.352,2382,4769,.499,1585,2014,.787,881,2526,3407,1701,615,357,1057,1712,8527,TOR,2015
7,Team/G,242.1,37.9,83.3,.455,8.9,25.1,.352,29.0,58.2,.499,19.3,24.6,.787,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104.0,TOR,2015
8,Lg,13,11,14,12,8,9,11,20,23,8,4,7,2,15,27,26,22,18,23,3,18,4,TOR,2015
9,Opponent,19855,3116,6787,.459,633,1828,.346,2483,4959,.501,1410,1923,.733,922,2559,3481,1870,567,413,1182,1668,8275,TOR,2015
10,Opponent/G,242.1,38.0,82.8,.459,7.7,22.3,.346,30.3,60.5,.501,17.2,23.5,.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9,TOR,2015
11,Lg,13,20,10,26,11,14,13,18,12,28,14,18,3,20,6,9,19,4,19,13,13,19,TOR,2015
12,Team,19730,2996,6883,.435,575,1729,.333,2421,5154,.470,1325,1706,.777,980,2505,3485,1726,584,343,1261,1743,7892,BOS,2014
13,Team/G,240.6,36.5,83.9,.435,7.0,21.1,.333,29.5,62.9,.470,16.2,20.8,.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,BOS,2014
14,Lg,29,23,10,28,20,18,28,19,12,26,24,27,10,7,24,18,22,23,23,27,19,26,BOS,2014
15,Opponent,19730,3101,6675,.465,539,1553,.347,2562,5122,.500,1517,1993,.761,871,2596,3467,1813,609,373,1168,1564,8258,BOS,2014
16,Opponent/G,240.6,37.8,81.4,.465,6.6,18.9,.347,31.2,62.5,.500,18.5,24.3,.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7,BOS,2014
17,Lg,29,17,11,23,5,4,5,24,19,22,19,17,21,12,14,13,16,11,13,18,28,13,BOS,2014
18,Team,19880,3193,7211,.443,660,2021,.327,2533,5190,.488,1266,1678,.754,910,2685,3595,2009,674,294,1133,1738,8312,BOS,2015
19,Team/G,242.4,38.9,87.9,.443,8.0,24.6,.327,30.9,63.3,.488,15.4,20.5,.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,BOS,2015
20,Lg,8,5,1,21,13,13,27,7,11,14,28,27,14,12,11,13,4,8,30,10,20,13,BOS,2015
21,Opponent,19880,3125,6943,.450,607,1804,.336,2518,5139,.490,1442,1909,.755,893,2772,3665,1798,583,431,1239,1545,8299,BOS,2015
22,Opponent/G,242.4,38.1,84.7,.450,7.4,22.0,.336,30.7,62.7,.490,17.6,23.3,.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,BOS,2015
23,Lg,8,23,23,17,9,10,4,24,24,18,19,17,20,13,25,26,14,6,21,10,26,21,BOS,2015
24,Team,19855,3027,6739,.449,759,2038,.372,2268,4701,.482,1271,1670,.761,870,2437,3307,1641,631,367,1063,1815,8084,NYK,2014
25,Team/G,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6,NYK,2014
26,Lg,10,20,19,16,7,5,7,29,26,14,28,28,13,20,27,27,28,14,18,2,24,20,NYK,2014
27,Opponent,19855,2934,6401,.458,713,1921,.371,2221,4480,.496,1568,2050,.765,843,2600,3443,1618,513,277,1193,1611,8149,NYK,2014
28,Opponent/G,242.1,35.8,78.1,.458,8.7,23.4,.371,27.1,54.6,.496,19.1,25.0,.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4,NYK,2014
29,Lg,10,4,1,19,28,27,27,1,1,18,25,23,24,6,15,10,3,1,2,14,22,8,NYK,2014
30,Team,19855,2882,6726,.428,560,1614,.347,2322,5112,.454,1211,1575,.769,867,2443,3310,1746,575,382,1206,1768,7535,NYK,2015
31,Team/G,242.1,35.1,82.0,.428,6.8,19.7,.347,28.3,62.3,.454,14.8,19.2,.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,NYK,2015
32,Lg,13,29,25,28,20,21,15,25,14,28,29,29,8,18,29,29,19,24,14,20,25,30,NYK,2015
33,Opponent,19855,3031,6592,.460,694,1825,.380,2337,4767,.490,1543,2032,.759,898,2669,3567,1783,659,353,1153,1564,8299,NYK,2015
34,Opponent/G,242.1,37.0,80.4,.460,8.5,22.3,.380,28.5,58.1,.490,18.8,24.8,.759,11.0,32.5,43.5,21.7,8.0,4.3,14.1,19.1,101.2,NYK,2015
35,Lg,13,10,3,27,24,13,30,8,4,19,27,27,25,15,17,16,13,23,7,17,25,21,NYK,2015
36,Team,19880,2931,6391,.459,709,1922,.369,2222,4469,.497,1508,2002,.753,721,2407,3128,1714,705,311,1191,1777,8079,BRK,2014
37,Team/G,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,BRK,2014
38,Lg,7,29,29,12,10,10,11,30,28,9,10,10,18,28,28,29,24,4,28,12,21,21,BRK,2014
39,Opponent,19880,2980,6511,.458,662,1802,.367,2318,4709,.492,1539,2026,.760,921,2594,3515,1723,608,337,1296,1704,8161,BRK,2014
40,Opponent/G,242.4,36.3,79.4,.458,8.1,22.0,.367,28.3,57.4,.492,18.8,24.7,.760,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5,BRK,2014
41,Lg,7,7,4,17,17,17,23,6,3,17,21,21,19,21,13,18,11,10,9,6,11,11,BRK,2014
42,Team,19930,3069,6804,.451,541,1633,.331,2528,5171,.489,1359,1817,.748,846,2627,3473,1716,576,340,1133,1579,8038,BRK,2015
43,Team/G,243.0,37.4,83.0,.451,6.6,19.9,.331,30.8,63.1,.489,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,BRK,2015
44,Lg,3,18,17,16,24,20,26,9,12,12,18,18,20,24,17,22,20,23,25,10,11,21,BRK,2015
45,Opponent,19930,3150,6913,.456,696,1944,.358,2454,4969,.494,1278,1748,.731,937,2699,3636,1944,643,372,1137,1641,8274,BRK,2015
46,Opponent/G,243.0,38.4,84.3,.456,8.5,23.7,.358,29.9,60.6,.494,15.6,21.3,.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9,BRK,2015
47,Lg,3,26,20,22,25,24,23,16,14,22,4,9,2,21,19,23,27,17,11,20,18,18,BRK,2015
48,Team,19855,3108,7150,.435,577,1847,.312,2531,5303,.477,1362,1918,.710,949,2556,3505,1791,765,330,1384,1844,8155,PHI,2014
49,Team/G,242.1,37.9,87.2,.435,7.0,22.5,.312,30.9,64.7,.477,16.6,23.4,.710,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.5,PHI,2014
50,Lg,10,16,2,29,19,13,30,7,6,21,22,14,29,10,19,15,15,1,25,30,25,19,PHI,2014
51,Opponent,19855,3284,6975,.471,739,1998,.370,2545,4977,.511,1705,2261,.754,976,2871,3847,2144,736,558,1391,1686,9012,PHI,2014
52,Opponent/G,242.1,40.0,85.1,.471,9.0,24.4,.370,31.0,60.7,.511,20.8,27.6,.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9,PHI,2014
53,Lg,10,28,24,28,29,29,25,23,13,30,30,30,10,27,29,29,30,29,30,1,15,30,PHI,2014
54,Team,19805,2765,6777,.408,692,2160,.320,2073,4617,.449,1320,1953,.676,978,2536,3514,1683,789,487,1453,1778,7542,PHI,2015
55,Team/G,241.5,33.7,82.6,.408,8.4,26.3,.320,25.3,56.3,.449,16.1,23.8,.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,PHI,2015
56,Lg,20,30,22,30,11,6,29,30,27,30,22,9,30,5,26,19,24,1,4,30,26,29,PHI,2015
57,Opponent,19805,3045,6785,.449,658,1879,.350,2387,4906,.487,1530,2023,.756,940,2853,3793,1942,779,454,1374,1657,8278,PHI,2015
58,Opponent/G,241.5,37.1,82.7,.449,8.0,22.9,.350,29.1,59.8,.487,18.7,24.7,.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101.0,PHI,2015
59,Lg,20,13,9,15,17,17,17,12,10,16,24,25,21,23,29,30,26,30,27,2,16,20,PHI,2015
60,Team,19930,3036,6955,.437,584,1640,.356,2452,5315,.461,1398,1861,.751,989,2629,3618,1738,579,304,1163,1640,8054,CLE,2014
61,Team/G,243.0,37.0,84.8,.437,7.1,20.0,.356,29.9,64.8,.461,17.0,22.7,.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2,CLE,2014
62,Lg,4,19,8,27,18,20,18,16,5,29,17,18,20,6,14,11,20,24,29,10,11,22,CLE,2014
63,Opponent,19930,3097,6847,.452,765,2083,.367,2332,4764,.490,1365,1803,.757,841,2648,3489,2037,587,461,1144,1599,8324,CLE,2014
64,Opponent/G,243.0,37.8,83.5,.452,9.3,25.4,.367,28.4,58.1,.490,16.6,22.0,.757,10.3,32.3,42.5,24.8,7.2,5.6,14.0,19.5,101.5,CLE,2014
65,Lg,4,16,20,12,30,30,22,8,5,13,8,8,16,5,22,15,28,6,27,24,24,16,CLE,2014
66,Team,19780,3089,6739,.458,826,2253,.367,2263,4486,.504,1453,1934,.751,911,2612,3523,1814,603,340,1171,1510,8457,CLE,2015
67,Team/G,241.2,37.7,82.2,.458,10.1,27.5,.367,27.6,54.7,.504,17.7,23.6,.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1,CLE,2015
68,Lg,23,15,24,8,4,2,5,28,29,7,9,12,18,11,21,18,10,19,25,17,5,8,CLE,2015
69,Opponent,19780,3121,6850,.456,634,1848,.343,2487,5002,.497,1214,1629,.745,885,2487,3372,1974,642,368,1092,1685,8090,CLE,2015
70,Opponent/G,241.2,38.1,83.5,.456,7.7,22.5,.343,30.3,61.0,.497,14.8,19.9,.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,CLE,2015
71,Lg,23,22,16,20,13,15,9,21,15,24,1,1,12,12,4,3,30,15,10,22,11,13,CLE,2015
72,Team,19780,2949,6573,.449,550,1542,.357,2399,5031,.477,1485,1907,.779,834,2831,3665,1651,550,446,1237,1675,7933,IND,2014
73,Team/G,241.2,36.0,80.2,.449,6.7,18.8,.357,29.3,61.4,.477,18.1,23.3,.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,IND,2014
74,Lg,22,28,28,17,22,25,17,23,18,22,13,16,8,23,1,8,27,27,5,19,13,24,IND,2014
75,Opponent,19780,2850,6785,.420,538,1561,.345,2312,5224,.443,1334,1768,.755,855,2521,3376,1525,593,378,1120,1793,7572,IND,2014
76,Opponent/G,241.2,34.8,82.7,.420,6.6,19.0,.345,28.2,63.7,.443,16.3,21.6,.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3,IND,2014
77,Lg,22,1,14,1,3,5,4,5,23,1,6,6,11,9,7,5,1,8,14,26,6,2,IND,2014
78,Team,19855,2998,6824,.439,612,1740,.352,2386,5084,.469,1373,1817,.756,856,2822,3678,1757,505,375,1147,1742,7981,IND,2015
79,Team/G,242.1,36.6,83.2,.439,7.5,21.2,.352,29.1,62.0,.469,16.7,22.2,.756,10.4,34.4,44.9,21.4,6.2,4.6,14.0,21.2,97.3,IND,2015
80,Lg,13,24,15,23,17,18,12,19,15,24,16,18,13,21,3,5,18,29,17,14,22,24,IND,2015
81,Opponent,19855,2949,6784,.435,591,1713,.345,2358,5071,.465,1469,1951,.753,800,2704,3504,1633,617,386,1045,1754,7958,IND,2015
82,Opponent/G,242.1,36.0,82.7,.435,7.2,20.9,.345,28.8,61.8,.465,17.9,23.8,.753,9.8,33.0,42.7,19.9,7.5,4.7,12.7,21.4,97.0,IND,2015
83,Lg,13,3,8,3,5,6,11,9,21,3,21,21,18,2,20,10,2,13,14,26,4,4,IND,2015
84,Team,19780,3182,7124,.447,507,1580,.321,2675,5544,.483,1415,2111,.670,1196,2525,3721,1714,687,395,1193,1666,8286,DET,2014
85,Team/G,241.2,38.8,86.9,.447,6.2,19.3,.321,32.6,67.6,.483,17.3,25.7,.670,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101.0,DET,2014
86,Lg,22,8,4,20,27,22,29,2,2,13,16,6,30,1,22,3,24,8,13,13,12,14,DET,2014
87,Opponent,19780,3208,6820,.470,683,1872,.365,2525,4948,.510,1487,1967,.756,913,2612,3525,2001,670,403,1230,1699,8586,DET,2014
88,Opponent/G,241.2,39.1,83.2,.470,8.3,22.8,.365,30.8,60.3,.510,18.1,24.0,.756,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7,DET,2014
89,Lg,22,25,15,27,23,23,21,20,12,29,15,16,13,20,18,19,27,25,18,12,12,27,DET,2014
90,Team,19830,3041,7038,.432,703,2043,.344,2338,4995,.468,1292,1838,.703,1051,2630,3681,1771,623,383,1099,1559,8077,DET,2015
91,Team/G,241.8,37.1,85.8,.432,8.6,24.9,.344,28.5,60.9,.468,15.8,22.4,.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19.0,98.5,DET,2015
92,Lg,18,20,6,27,9,11,18,23,17,25,26,17,29,2,16,4,16,16,13,8,7,18,DET,2015
93,Opponent,19830,3106,6817,.456,635,1789,.355,2471,5028,.491,1312,1699,.772,877,2740,3617,1949,572,391,1146,1584,8159,DET,2015
94,Opponent/G,241.8,37.9,83.1,.456,7.7,21.8,.355,30.1,61.3,.491,16.0,20.7,.772,10.7,33.4,44.1,23.8,7.0,4.8,14.0,19.3,99.5,DET,2015
95,Lg,18,17,13,21,14,8,21,17,17,20,11,5,29,11,22,20,28,5,15,18,24,14,DET,2015
96,Team,19930,2843,6577,.432,508,1459,.348,2335,5118,.456,1486,1908,.779,937,2683,3620,1860,594,424,1223,1565,7680,CHI,2014
97,Team/G,243.0,34.7,80.2,.432,6.2,17.8,.348,28.5,62.4,.456,18.1,23.3,.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,CHI,2014
98,Lg,4,30,27,30,26,28,24,26,13,30,12,15,7,11,9,10,10,21,7,18,4,30,CHI,2014
