,visitor,home,dates,visitor_score,home_score
0,NYK,CLE,20161025,88,117
1,UTA,POR,20161025,104,113
2,SAS,GSW,20161025,129,100
3,DAL,IND,20161026,121,130
4,MIA,ORL,20161026,108,96
5,DET,TOR,20161026,91,109
6,BRK,BOS,20161026,117,122
7,CHO,MIL,20161026,107,96
8,DEN,NOP,20161026,107,102
9,MIN,MEM,20161026,98,102
10,OKC,PHI,20161026,103,97
11,SAC,PHO,20161026,113,94
12,HOU,LAL,20161026,114,120
13,WAS,ATL,20161027,99,114
14,BOS,CHI,20161027,99,105
15,LAC,POR,20161027,114,106
16,SAS,SAC,20161027,102,94
17,CLE,TOR,20161028,94,91
18,IND,BRK,20161028,94,103
19,ORL,DET,20161028,82,108
20,PHO,OKC,20161028,110,113
21,CHO,MIA,20161028,97,91
22,HOU,DAL,20161028,106,98
23,LAL,UTA,20161028,89,96
24,GSW,NOP,20161028,122,114
25,ATL,PHI,20161029,104,72
26,BOS,CHO,20161029,104,98
27,ORL,CLE,20161029,99,105
28,MEM,NYK,20161029,104,111
29,NOP,SAS,20161029,79,98
30,BRK,MIL,20161029,108,110
31,IND,CHI,20161029,101,118
32,POR,DEN,20161029,115,113
33,MIN,SAC,20161029,103,106
34,UTA,LAC,20161030,75,88
35,MIL,DET,20161030,83,98
36,SAS,MIA,20161030,106,99
37,GSW,PHO,20161030,106,100
38,LAL,OKC,20161030,96,113
39,DAL,HOU,20161030,92,93
40,WAS,MEM,20161030,103,112
41,SAC,ATL,20161031,95,106
42,CHI,BRK,20161031,118,88
43,DEN,TOR,20161031,102,105
44,PHO,LAC,20161031,98,116
45,HOU,CLE,20161101,120,128
46,LAL,IND,20161101,108,115
47,ORL,PHI,20161101,103,101
48,NYK,DET,20161101,89,102
49,SAC,MIA,20161101,96,108
50,MEM,MIN,20161101,80,116
51,MIL,NOP,20161101,117,113
52,UTA,SAS,20161101,106,91
53,GSW,POR,20161101,127,104
54,PHI,CHO,20161102,93,109
55,TOR,WAS,20161102,113,103
56,LAL,ATL,20161102,123,116
57,DET,BRK,20161102,101,109
58,HOU,NYK,20161102,118,99
59,CHI,BOS,20161102,100,107
60,NOP,MEM,20161102,83,89
61,DAL,UTA,20161102,81,97
62,POR,PHO,20161102,115,118
63,OKC,LAC,20161102,85,83
64,SAC,ORL,20161103,94,102
65,BOS,CLE,20161103,122,128
66,IND,MIL,20161103,107,125
67,DEN,MIN,20161103,102,99
68,OKC,GSW,20161103,96,122
69,ATL,WAS,20161104,92,95
70,CHO,BRK,20161104,99,95
71,MIA,TOR,20161104,87,96
72,NYK,CHI,20161104,117,104
73,LAC,MEM,20161104,99,88
74,PHO,NOP,20161104,112,111
75,POR,DAL,20161104,105,95
76,SAS,UTA,20161104,100,86
77,GSW,LAL,20161104,97,117
78,MIN,OKC,20161105,92,112
79,DEN,DET,20161105,86,103
80,CHI,IND,20161105,94,111
81,WAS,ORL,20161105,86,88
82,CLE,PHI,20161105,102,101
83,HOU,ATL,20161105,97,112
84,SAC,MIL,20161105,91,117
85,LAC,SAS,20161105,116,92
86,UTA,NYK,20161106,114,109
87,POR,MEM,20161106,100,94
88,SAC,TOR,20161106,96,91
89,MIL,DAL,20161106,75,86
90,DEN,BOS,20161106,123,107
91,PHO,LAL,20161106,108,119
92,IND,CHO,20161107,100,122
93,UTA,PHI,20161107,109,84
94,HOU,WAS,20161107,114,106
95,ORL,CHI,20161107,80,112
96,MIA,OKC,20161107,85,97
97,NOP,GSW,20161107,106,116
98,DET,LAC,20161107,82,114
99,ATL,CLE,20161108,110,106
100,MIN,BRK,20161108,110,119
101,DEN,MEM,20161108,107,108
102,PHO,POR,20161108,121,124
103,DAL,LAL,20161108,109,97
104,NOP,SAC,20161108,94,102
105,UTA,CHO,20161109,98,104
106,PHI,IND,20161109,115,122
107,BRK,NYK,20161109,96,110
108,MIN,ORL,20161109,123,107
109,BOS,WAS,20161109,93,118
110,CHI,ATL,20161109,107,115
111,TOR,OKC,20161109,112,102
112,DET,PHO,20161109,100,107
113,HOU,SAS,20161109,101,99
114,DAL,GSW,20161109,95,116
115,POR,LAC,20161109,80,111
116,CHI,MIA,20161110,98,95
117,NOP,MIL,20161110,112,106
118,GSW,DEN,20161110,125,101
119,LAL,SAC,20161110,101,91
120,TOR,CHO,20161111,113,111
121,UTA,ORL,20161111,87,74
122,IND,PHI,20161111,105,109
123,CLE,WAS,20161111,105,94
124,NYK,BOS,20161111,87,115
125,LAC,OKC,20161111,110,108
126,DET,SAS,20161111,86,96
127,SAC,POR,20161111,120,122
128,BOS,IND,20161112,105,99
129,LAL,NOP,20161112,126,99
130,PHI,ATL,20161112,96,117
131,NYK,TOR,20161112,107,118
132,WAS,CHI,20161112,95,106
133,SAS,HOU,20161112,106,100
134,UTA,MIA,20161112,102,91
135,LAC,MIN,20161112,119,105
136,MEM,MIL,20161112,96,106
137,DET,DEN,20161112,106,95
138,BRK,PHO,20161112,122,104
139,CHO,CLE,20161113,93,100
140,LAL,MIN,20161113,99,125
141,ORL,OKC,20161113,119,117
142,PHO,GSW,20161113,120,133
143,DEN,POR,20161113,105,112
144,ORL,IND,20161114,69,88
145,OKC,DET,20161114,88,104
146,DAL,NYK,20161114,77,93
147,PHI,HOU,20161114,88,115
148,BOS,NOP,20161114,105,106
149,MIA,SAS,20161114,90,94
150,MEM,UTA,20161114,102,96
151,BRK,LAC,20161114,95,127
152,TOR,CLE,20161115,117,121
153,ATL,MIA,20161115,93,90
154,CHO,MIN,20161115,115,108
155,CHI,POR,20161115,113,88
156,BRK,LAL,20161115,118,125
157,CLE,IND,20161116,93,103
158,NOP,ORL,20161116,82,89
159,WAS,PHI,20161116,102,109
160,MIL,ATL,20161116,100,107
161,DAL,BOS,20161116,83,90
162,DET,NYK,20161116,102,105
163,HOU,OKC,20161116,103,105
164,GSW,TOR,20161116,127,121
165,PHO,DEN,20161116,104,120
166,MEM,LAC,20161116,111,107
167,SAS,SAC,20161116,110,105
168,NYK,WAS,20161117,112,119
169,MIL,MIA,20161117,73,96
170,POR,HOU,20161117,109,126
171,PHI,MIN,20161117,86,110
172,CHI,UTA,20161117,85,77
173,ATL,CHO,20161118,96,100
174,PHO,IND,20161118,116,96
175,DET,CLE,20161118,81,104
176,GSW,BOS,20161118,104,88
177,POR,NOP,20161118,101,113
178,BRK,OKC,20161118,105,124
179,MEM,DAL,20161118,80,64
180,TOR,DEN,20161118,113,111
181,SAS,LAL,20161118,116,107
182,LAC,SAC,20161118,121,115
183,UTA,HOU,20161119,102,111
184,BOS,DET,20161119,94,92
185,CHO,NOP,20161119,116,121
186,DAL,ORL,20161119,87,95
187,MIA,WAS,20161119,114,111
188,PHO,PHI,20161119,105,120
189,MIN,MEM,20161119,71,93
190,GSW,MIL,20161119,124,121
191,CHI,LAC,20161119,95,102
192,ATL,NYK,20161120,94,104
193,POR,BRK,20161120,129,109
194,IND,OKC,20161120,115,111
195,UTA,DEN,20161120,91,105
196,TOR,SAC,20161120,99,102
197,CHI,LAL,20161120,118,110
198,MEM,CHO,20161121,105,90
199,GSW,IND,20161121,120,83
200,MIA,PHI,20161121,94,101
201,PHO,WAS,20161121,101,106
202,HOU,DET,20161121,99,96
203,ORL,MIL,20161121,89,93
204,BOS,MIN,20161121,99,93
205,DAL,SAS,20161121,91,96
206,TOR,LAC,20161121,115,123
207,NOP,ATL,20161122,112,94
208,POR,NYK,20161122,103,107
209,CHI,DEN,20161122,107,110
210,OKC,LAL,20161122,109,111
211,SAS,CHO,20161123,119,114
212,POR,CLE,20161123,125,137
213,ATL,IND,20161123,96,85
214,PHO,ORL,20161123,92,87
215,MEM,PHI,20161123,104,99
216,BOS,BRK,20161123,111,92
217,MIA,DET,20161123,84,107
218,TOR,HOU,20161123,115,102
219,LAC,DAL,20161123,124,104
220,DEN,UTA,20161123,83,108
221,MIN,NOP,20161123,96,117
222,LAL,GSW,20161123,106,149
223,OKC,SAC,20161123,101,116
224,SAS,BOS,20161125,109,103
225,WAS,ORL,20161125,94,91
226,DAL,CLE,20161125,90,128
227,LAC,DET,20161125,97,108
228,CHO,NYK,20161125,111,113
229,CHI,PHI,20161125,105,89
230,BRK,IND,20161125,97,118
231,MIA,MEM,20161125,90,81
232,TOR,MIL,20161125,105,99
233,ATL,UTA,20161125,68,95
234,OKC,DEN,20161125,132,129
235,MIN,PHO,20161125,98,85
236,NOP,POR,20161125,104,119
237,GSW,LAL,20161125,109,85
238,HOU,SAC,20161125,117,104
239,NYK,CHO,20161126,102,107
240,SAS,WAS,20161126,112,100
241,MEM,MIA,20161126,110,107
242,DET,OKC,20161126,88,106
243,MIN,GSW,20161126,102,115
244,CLE,PHI,20161127,112,108
245,DEN,PHO,20161127,120,114
246,SAC,BRK,20161127,122,105
247,LAC,IND,20161127,70,91
248,MIL,ORL,20161127,104,96
249,NOP,DAL,20161127,81,91
250,HOU,POR,20161127,130,114
251,ATL,LAL,20161127,94,109
252,SAC,WAS,20161128,95,101
253,BOS,MIA,20161128,112,104
254,OKC,NYK,20161128,112,103
255,PHI,TOR,20161128,95,122
256,CHO,MEM,20161128,104,85
257,UTA,MIN,20161128,112,103
258,ATL,GSW,20161128,100,105
259,DET,CHO,20161129,112,89
260,LAC,BRK,20161129,122,127
261,CLE,MIL,20161129,101,118
262,LAL,NOP,20161129,88,105
263,ORL,SAS,20161129,95,83
264,HOU,UTA,20161129,101,120
265,DET,BOS,20161130,121,114
266,MEM,TOR,20161130,105,120
267,LAL,CHI,20161130,96,90
268,NYK,MIN,20161130,106,104
269,WAS,OKC,20161130,115,126
270,SAS,DAL,20161130,94,87
271,MIA,DEN,20161130,106,98
272,ATL,PHO,20161130,107,109
273,IND,POR,20161130,109,131
274,DAL,CHO,20161201,87,97
275,MIL,BRK,20161201,111,93
276,LAC,CLE,20161201,113,94
277,ORL,MEM,20161201,94,95
278,MIA,UTA,20161201,111,110
279,HOU,GSW,20161201,132,127
280,ORL,PHI,20161202,105,88
281,SAC,BOS,20161202,92,97
282,MIN,NYK,20161202,114,118
283,LAL,TOR,20161202,80,113
284,DET,ATL,20161202,121,85
285,CLE,CHI,20161202,105,111
286,LAC,NOP,20161202,114,96
287,WAS,SAS,20161202,105,107
288,HOU,DEN,20161202,128,110
289,BRK,MIL,20161203,103,112
290,MIN,CHO,20161203,125,120
291,BOS,PHI,20161203,107,106
292,ATL,TOR,20161203,84,128
293,LAL,MEM,20161203,100,103
294,CHI,DAL,20161203,82,107
295,DEN,UTA,20161203,98,105
296,MIA,POR,20161203,92,99
297,PHO,GSW,20161203,109,138
298,ORL,DET,20161204,98,92
299,NOP,OKC,20161204,92,101
300,SAC,NYK,20161204,98,106
301,IND,LAC,20161204,111,102
302,DEN,PHI,20161205,106,98
303,OKC,ATL,20161205,102,99
304,WAS,BRK,20161205,118,113
305,CLE,TOR,20161205,116,112
306,POR,CHI,20161205,112,110
307,BOS,HOU,20161205,106,107
308,SAS,MIL,20161205,97,96
309,MEM,NOP,20161205,110,108
310,CHO,DAL,20161205,109,101
311,IND,GSW,20161205,106,142
312,UTA,LAL,20161205,107,101
313,ORL,WAS,20161206,124,116
314,CHI,DET,20161206,91,102
315,NYK,MIA,20161206,114,103
316,PHI,MEM,20161206,91,96
317,SAS,MIN,20161206,105,91
318,PHO,UTA,20161206,105,112
319,DET,CHO,20161207,77,87
320,BOS,ORL,20161207,117,87
321,MIA,ATL,20161207,95,103
322,DEN,BRK,20161207,111,116
323,LAL,HOU,20161207,95,134
324,POR,MIL,20161207,107,115
325,CLE,NYK,20161207,126,94
326,SAC,DAL,20161207,120,89
327,IND,PHO,20161207,109,94
328,GSW,LAC,20161207,115,98
329,MIN,TOR,20161208,110,124
330,DEN,WAS,20161208,85,92
331,POR,MEM,20161208,86,88
332,PHI,NOP,20161208,99,88
333,GSW,UTA,20161208,106,99
334,SAS,CHI,20161208,91,95
335,ORL,CHO,20161209,88,109
336,TOR,BOS,20161209,101,94
337,MIA,CLE,20161209,84,114
338,ATL,MIL,20161209,114,110
339,DET,MIN,20161209,117,90
340,HOU,OKC,20161209,102,99
341,IND,DAL,20161209,103,111
342,PHO,LAL,20161209,119,115
343,NYK,SAC,20161209,103,100
344,POR,IND,20161210,111,118
345,DEN,ORL,20161210,121,113
346,MIL,WAS,20161210,105,110
347,CHO,CLE,20161210,105,116
348,MIA,CHI,20161210,100,105
349,DAL,HOU,20161210,87,109
350,GSW,MEM,20161210,89,110
351,BRK,SAS,20161210,101,130
352,SAC,UTA,20161210,84,104
353,NOP,LAC,20161210,105,133
354,PHI,DET,20161211,97,79
355,GSW,MIN,20161211,116,108
356,BOS,OKC,20161211,96,99
357,NOP,PHO,20161211,120,119
358,NYK,LAL,20161211,118,112
359,CHO,IND,20161212,94,110
360,WAS,MIA,20161212,101,112
361,MIL,TOR,20161212,100,122
362,BRK,HOU,20161212,118,122
363,DEN,DAL,20161212,92,112
364,POR,LAC,20161212,120,121
365,LAL,SAC,20161212,92,116
366,MEM,CLE,20161213,86,103
367,ORL,ATL,20161213,131,120
368,MIN,CHI,20161213,99,94
369,GSW,NOP,20161213,113,109
370,NYK,PHO,20161213,111,113
371,OKC,POR,20161213,95,114
372,IND,MIA,20161214,89,95
373,LAC,ORL,20161214,113,108
374,TOR,PHI,20161214,123,114
375,CHO,WAS,20161214,106,109
376,LAL,BRK,20161214,97,107
377,SAC,HOU,20161214,98,132
378,CLE,MEM,20161214,85,93
379,DET,DAL,20161214,95,85
380,OKC,UTA,20161214,89,109
381,BOS,SAS,20161214,101,108
382,CHI,MIL,20161215,97,108
383,IND,NOP,20161215,95,102
384,POR,DEN,20161215,120,132
385,SAS,PHO,20161215,107,92
386,NYK,GSW,20161215,90,103
387,BRK,ORL,20161216,111,118
388,DET,WAS,20161216,108,122
389,CHO,BOS,20161216,88,96
390,ATL,TOR,20161216,125,121
391,MIL,CHI,20161216,95,69
392,NOP,HOU,20161216,100,122
393,SAC,MEM,20161216,96,92
394,LAC,MIA,20161216,102,98
395,LAL,PHI,20161216,100,89
396,DAL,UTA,20161216,100,103
397,PHO,OKC,20161217,101,114
398,IND,DET,20161217,105,90
399,CHO,ATL,20161217,107,99
400,LAL,CLE,20161217,108,119
401,HOU,MIN,20161217,111,109
402,NYK,DEN,20161217,114,127
403,POR,GSW,20161217,90,135
404,LAC,WAS,20161218,110,117
405,SAC,DAL,20161218,79,99
406,UTA,MEM,20161218,82,73
407,BOS,MIA,20161218,105,95
408,TOR,ORL,20161218,109,79
409,BRK,PHI,20161218,107,108
410,NOP,SAS,20161218,100,113
411,WAS,IND,20161219,105,107
412,DET,CHI,20161219,82,113
413,PHO,MIN,20161219,108,115
414,ATL,OKC,20161219,110,108
415,DAL,DEN,20161219,107,117
416,LAL,CHO,20161220,113,117
417,NOP,PHI,20161220,108,93
418,ORL,MIA,20161220,136,130
419,IND,NYK,20161220,111,118
420,BRK,TOR,20161220,104,116
421,SAS,HOU,20161220,102,100
422,BOS,MEM,20161220,112,109
423,CLE,MIL,20161220,114,108
424,UTA,GSW,20161220,74,104
425,DEN,LAC,20161220,102,119
426,POR,SAC,20161220,121,126
427,MIL,CLE,20161221,102,113
428,MIN,ATL,20161221,92,84
429,MEM,DET,20161221,98,86
430,WAS,CHI,20161221,107,97
431,OKC,NOP,20161221,121,110
432,HOU,PHO,20161221,125,111
433,SAC,UTA,20161221,94,93
434,DAL,POR,20161221,96,95
435,BOS,IND,20161222,109,102
436,GSW,BRK,20161222,117,101
437,ORL,NYK,20161222,95,106
438,LAL,MIA,20161222,107,115
439,SAS,LAC,20161222,101,106
440,CHI,CHO,20161223,91,103
441,LAL,ORL,20161223,90,109
442,OKC,BOS,20161223,117,112
443,BRK,CLE,20161223,99,119
444,GSW,DET,20161223,119,113
445,HOU,MEM,20161223,109,115
446,WAS,MIL,20161223,96,123
447,SAC,MIN,20161223,109,105
448,MIA,NOP,20161223,87,91
449,ATL,DEN,20161223,109,108
450,PHI,PHO,20161223,116,123
451,TOR,UTA,20161223,104,98
452,SAS,POR,20161223,110,90
453,DAL,LAC,20161223,90,88
454,BOS,NYK,20161225,119,114
455,GSW,CLE,20161225,108,109
456,CHI,SAS,20161225,100,119
457,MIN,OKC,20161225,100,112
458,LAC,LAL,20161225,102,111
459,MEM,ORL,20161226,102,112
460,MIL,WAS,20161226,102,107
461,CHO,BRK,20161226,118,120
462,CLE,DET,20161226,90,106
463,IND,CHI,20161226,85,90
464,PHO,HOU,20161226,115,131
465,ATL,MIN,20161226,90,104
466,DAL,NOP,20161226,104,111
467,TOR,POR,20161226,95,91
468,DEN,LAC,20161226,106,102
469,PHI,SAC,20161226,100,102
470,MEM,BOS,20161227,103,113
471,OKC,MIA,20161227,106,94
472,HOU,DAL,20161227,123,107
473,UTA,LAL,20161227,102,100
474,CHO,ORL,20161228,120,101
475,IND,WAS,20161228,105,111
476,NYK,ATL,20161228,98,102
477,MIL,DET,20161228,119,94
478,BRK,CHI,20161228,99,101
479,LAC,NOP,20161228,98,102
480,PHO,SAS,20161228,98,119
481,MIN,DEN,20161228,103,105
482,SAC,POR,20161228,89,102
483,TOR,GSW,20161228,111,121
484,MIA,CHO,20161229,82,91
485,BOS,CLE,20161229,118,124
