,visitor,home,dates,visitor_score,home_score
0,PHI,BOS,20181016,87,105
1,OKC,GSW,20181016,100,108
2,MIL,CHO,20181017,113,112
3,BRK,DET,20181017,100,103
4,MEM,IND,20181017,83,111
5,MIA,ORL,20181017,101,104
6,ATL,NYK,20181017,107,126
7,CLE,TOR,20181017,104,116
8,NOP,HOU,20181017,131,112
9,MIN,SAS,20181017,108,112
10,UTA,SAC,20181017,123,117
11,DEN,LAC,20181017,107,98
12,DAL,PHO,20181017,100,121
13,CHI,PHI,20181018,108,127
14,MIA,WAS,20181018,113,112
15,LAL,POR,20181018,119,128
16,CHO,ORL,20181019,120,88
17,NYK,BRK,20181019,105,107
18,ATL,MEM,20181019,117,131
19,CLE,MIN,20181019,123,131
20,SAC,NOP,20181019,129,149
21,BOS,TOR,20181019,101,113
22,IND,MIL,20181019,101,118
23,OKC,LAC,20181019,92,108
24,GSW,UTA,20181019,124,123
25,BRK,IND,20181020,112,132
26,TOR,WAS,20181020,117,113
27,BOS,NYK,20181020,103,101
28,ORL,PHI,20181020,115,116
29,DET,CHI,20181020,118,116
30,CHO,MIA,20181020,113,112
31,MIN,DAL,20181020,136,140
32,PHO,DEN,20181020,91,119
33,SAS,POR,20181020,108,121
34,HOU,LAL,20181020,124,115
35,ATL,CLE,20181021,133,111
36,SAC,OKC,20181021,131,120
37,GSW,DEN,20181021,98,100
38,HOU,LAC,20181021,112,115
39,ORL,BOS,20181022,93,90
40,CHO,TOR,20181022,106,127
41,NYK,MIL,20181022,113,124
42,IND,MIN,20181022,91,101
43,CHI,DAL,20181022,109,115
44,MEM,UTA,20181022,92,84
45,WAS,POR,20181022,125,124
46,PHO,GSW,20181022,103,123
47,SAS,LAL,20181022,143,142
48,PHI,DET,20181023,132,133
49,LAC,NOP,20181023,109,116
50,SAC,DEN,20181023,112,126
51,DAL,ATL,20181024,104,111
52,BRK,CLE,20181024,102,86
53,NYK,MIA,20181024,87,110
54,MIN,TOR,20181024,105,112
55,CHO,CHI,20181024,110,112
56,UTA,HOU,20181024,100,89
57,IND,SAS,20181024,116,96
58,PHI,MIL,20181024,108,123
59,LAL,PHO,20181024,131,113
60,MEM,SAC,20181024,92,97
61,WAS,GSW,20181024,122,144
62,CLE,DET,20181025,103,110
63,POR,ORL,20181025,128,114
64,BOS,OKC,20181025,101,95
65,DEN,LAL,20181025,114,121
66,CHI,CHO,20181026,106,135
67,GSW,NYK,20181026,128,100
68,DAL,TOR,20181026,107,116
69,LAC,HOU,20181026,133,113
70,MIL,MIN,20181026,125,95
71,BRK,NOP,20181026,115,117
72,WAS,SAC,20181026,112,116
73,BOS,DET,20181027,109,89
74,UTA,NOP,20181027,132,111
75,CHI,ATL,20181027,97,85
76,IND,CLE,20181027,119,107
77,CHO,PHI,20181027,103,105
78,PHO,MEM,20181027,96,117
79,POR,MIA,20181027,111,120
80,ORL,MIL,20181027,91,113
81,LAL,SAS,20181027,106,110
82,GSW,BRK,20181028,120,114
83,UTA,DAL,20181028,113,104
84,PHO,OKC,20181028,110,117
85,WAS,LAC,20181028,104,136
86,POR,IND,20181029,103,93
87,ATL,PHI,20181029,92,113
88,SAC,MIA,20181029,123,113
89,BRK,NYK,20181029,96,115
90,GSW,CHI,20181029,149,124
91,TOR,MIL,20181029,109,124
92,LAL,MIN,20181029,120,124
93,DAL,SAS,20181029,108,113
94,NOP,DEN,20181029,111,116
95,MIA,CHO,20181030,113,125
96,ATL,CLE,20181030,114,136
97,SAC,ORL,20181030,107,99
98,DET,BOS,20181030,105,108
99,PHI,TOR,20181030,112,129
100,POR,HOU,20181030,104,85
101,WAS,MEM,20181030,95,107
102,LAC,OKC,20181030,110,128
103,DET,BRK,20181031,119,120
104,DEN,CHI,20181031,108,107
105,UTA,MIN,20181031,125,128
106,IND,NYK,20181031,107,101
107,NOP,GSW,20181031,121,131
108,DAL,LAL,20181031,113,114
109,SAS,PHO,20181031,120,90
110,OKC,CHO,20181101,111,107
111,DEN,CLE,20181101,110,91
112,LAC,PHI,20181101,113,122
113,SAC,ATL,20181101,146,115
114,MIL,BOS,20181101,113,117
115,NOP,POR,20181101,119,132
116,LAC,ORL,20181102,120,95
117,HOU,BRK,20181102,119,111
118,IND,CHI,20181102,107,105
119,OKC,WAS,20181102,134,111
120,NYK,DAL,20181102,118,106
121,MEM,UTA,20181102,110,100
122,TOR,PHO,20181102,107,98
123,MIN,GSW,20181102,99,116
124,DET,PHI,20181103,99,109
125,CLE,CHO,20181103,94,126
126,BOS,IND,20181103,101,102
127,MIA,ATL,20181103,118,123
128,HOU,CHI,20181103,96,88
129,NOP,SAS,20181103,95,109
130,UTA,DEN,20181103,88,103
131,LAL,POR,20181103,114,110
132,SAC,MIL,20181104,109,144
133,PHI,BRK,20181104,97,122
134,NYK,WAS,20181104,95,108
135,ORL,SAS,20181104,117,110
136,MEM,PHO,20181104,100,102
137,MIN,POR,20181104,81,111
138,TOR,LAL,20181104,121,107
139,MIA,DET,20181105,120,115
140,HOU,IND,20181105,98,94
141,CLE,ORL,20181105,100,102
142,CHI,NYK,20181105,116,115
143,NOP,OKC,20181105,116,122
144,BOS,DEN,20181105,107,115
145,TOR,UTA,20181105,124,111
146,MEM,GSW,20181105,101,117
147,MIN,LAC,20181105,109,120
148,ATL,CHO,20181106,102,113
149,WAS,DAL,20181106,100,119
150,BRK,PHO,20181106,104,82
151,MIL,POR,20181106,103,118
152,OKC,CLE,20181107,95,86
153,DET,ORL,20181107,103,96
154,NYK,ATL,20181107,112,107
155,SAS,MIA,20181107,88,95
156,PHI,IND,20181107,100,94
157,DEN,MEM,20181107,87,89
158,CHI,NOP,20181107,98,107
159,DAL,UTA,20181107,102,117
160,TOR,SAC,20181107,114,105
161,MIN,LAL,20181107,110,114
162,HOU,OKC,20181108,80,98
163,BOS,PHO,20181108,116,109
164,LAC,POR,20181108,105,116
165,MIL,GSW,20181108,134,111
166,WAS,ORL,20181109,108,117
167,CHO,PHI,20181109,132,133
168,DET,ATL,20181109,124,109
169,IND,MIA,20181109,110,102
170,BRK,DEN,20181109,112,110
171,BOS,UTA,20181109,115,123
172,MIN,SAC,20181109,110,121
173,NYK,TOR,20181110,112,128
174,MIL,LAC,20181110,126,128
175,PHO,NOP,20181110,99,119
176,CLE,CHI,20181110,98,99
177,PHI,MEM,20181110,106,112
178,WAS,MIA,20181110,116,110
179,BRK,GSW,20181110,100,116
180,HOU,SAS,20181110,89,96
181,OKC,DAL,20181110,96,111
182,LAL,SAC,20181110,101,86
183,CHO,DET,20181111,113,103
184,IND,HOU,20181111,103,115
185,ORL,NYK,20181111,115,89
186,MIL,DEN,20181111,121,114
187,BOS,POR,20181111,94,100
188,ATL,LAL,20181111,106,107
