,visitor,home,dates,visitor_score,home_score
0,WAS,CLE,20121030,84,94
1,BOS,MIA,20121030,107,120
2,DAL,LAL,20121030,99,91
3,DEN,PHI,20121031,75,84
4,IND,TOR,20121031,90,88
5,HOU,DET,20121031,105,96
6,SAC,CHI,20121031,87,93
7,SAS,NOH,20121031,99,95
8,DAL,UTA,20121031,94,113
9,GSW,PHO,20121031,87,85
10,MEM,LAC,20121031,92,101
11,LAL,POR,20121031,106,116
12,OKC,SAS,20121101,84,86
13,IND,CHA,20121102,89,90
14,DEN,ORL,20121102,89,102
15,HOU,ATL,20121102,109,102
16,MIL,BOS,20121102,99,88
17,CHI,CLE,20121102,115,86
18,SAC,MIN,20121102,80,92
19,UTA,NOH,20121102,86,88
20,MIA,NYK,20121102,84,104
21,POR,OKC,20121102,92,106
22,DET,PHO,20121102,89,92
23,MEM,GSW,20121102,104,94
24,LAC,LAL,20121102,105,95
25,SAC,IND,20121103,98,106
26,BOS,WAS,20121103,89,86
27,TOR,BRK,20121103,100,107
28,DEN,MIA,20121103,116,119
29,NOH,CHI,20121103,89,82
30,POR,HOU,20121103,95,85
31,CHA,DAL,20121103,99,126
32,CLE,MIL,20121103,102,105
33,UTA,SAS,20121103,100,110
34,GSW,LAC,20121103,114,110
35,PHI,NYK,20121104,84,100
36,PHO,ORL,20121104,94,115
37,MIN,TOR,20121104,86,105
38,ATL,OKC,20121104,104,95
39,DET,LAL,20121104,79,108
40,NYK,PHI,20121105,110,88
41,MIN,BRK,20121105,107,96
42,PHO,MIA,20121105,99,124
43,UTA,MEM,20121105,94,103
44,POR,DAL,20121105,91,114
45,IND,SAS,20121105,79,101
46,GSW,SAC,20121105,92,94
47,CLE,LAC,20121105,108,101
48,ORL,CHI,20121106,93,99
49,TOR,OKC,20121106,88,108
50,DET,DEN,20121106,97,109
51,PHO,CHA,20121107,117,110
52,IND,ATL,20121107,86,89
53,WAS,BOS,20121107,94,100
54,BRK,MIA,20121107,73,103
55,DEN,HOU,20121107,93,87
56,MEM,MIL,20121107,108,90
57,ORL,MIN,20121107,75,90
58,PHI,NOH,20121107,77,62
59,TOR,DAL,20121107,104,109
60,LAL,UTA,20121107,86,95
61,DET,SAC,20121107,103,105
62,CLE,GSW,20121107,96,106
63,SAS,LAC,20121107,84,106
64,OKC,CHI,20121108,97,91
65,LAC,POR,20121108,103,90
66,BRK,ORL,20121109,107,68
67,MIL,WAS,20121109,101,91
68,MIA,ATL,20121109,95,89
69,PHI,BOS,20121109,106,100
70,DAL,NYK,20121109,94,104
71,HOU,MEM,20121109,85,93
72,IND,MIN,20121109,94,96
73,CHA,NOH,20121109,99,107
74,DET,OKC,20121109,94,105
75,CLE,PHO,20121109,105,107
76,SAS,SAC,20121109,97,86
77,UTA,DEN,20121109,84,104
78,GSW,LAL,20121109,77,101
79,WAS,IND,20121110,85,89
80,PHI,TOR,20121110,93,83
81,DAL,CHA,20121110,97,101
82,MIN,CHI,20121110,80,87
83,DET,HOU,20121110,82,96
84,BOS,MIL,20121110,96,92
85,PHO,UTA,20121110,81,94
86,SAS,POR,20121110,112,109
87,DEN,GSW,20121110,107,101
88,ORL,BRK,20121111,74,82
89,ATL,LAC,20121111,76,89
90,MIA,MEM,20121111,86,104
91,CLE,OKC,20121111,91,106
92,SAC,LAL,20121111,90,103
93,MIL,PHI,20121112,105,96
94,UTA,TOR,20121112,140,133
95,OKC,DET,20121112,92,90
96,BOS,CHI,20121112,101,95
97,MIA,HOU,20121112,113,110
98,MIN,DAL,20121112,90,82
99,DEN,PHO,20121112,100,110
100,ATL,POR,20121112,95,87
101,WAS,CHA,20121113,76,92
102,TOR,IND,20121113,74,72
103,NYK,ORL,20121113,99,89
104,CLE,BRK,20121113,101,114
105,POR,SAC,20121113,103,86
106,SAS,LAL,20121113,84,82
107,DET,PHI,20121114,94,76
108,UTA,BOS,20121114,93,98
109,NOH,HOU,20121114,96,100
110,IND,MIL,20121114,85,99
111,CHA,MIN,20121114,89,87
112,MEM,OKC,20121114,107,97
113,WAS,DAL,20121114,101,107
114,CHI,PHO,20121114,112,106
115,ATL,GSW,20121114,88,92
116,MIA,LAC,20121114,100,107
117,BOS,BRK,20121115,97,102
118,NYK,SAS,20121115,104,100
119,MIA,DEN,20121115,98,93
120,DAL,IND,20121116,83,103
121,UTA,PHI,20121116,93,99
122,ORL,DET,20121116,110,106
123,GSW,MIN,20121116,106,98
124,OKC,NOH,20121116,110,95
125,NYK,MEM,20121116,95,105
126,HOU,POR,20121116,117,119
127,ATL,SAC,20121116,112,96
128,PHO,LAL,20121116,102,114
129,TOR,BOS,20121117,89,107
130,UTA,WAS,20121117,83,76
131,MEM,CHA,20121117,94,87
132,DAL,CLE,20121117,103,95
133,NOH,MIL,20121117,113,117
134,DEN,SAS,20121117,100,126
135,CHI,LAC,20121117,80,101
136,MIA,PHO,20121117,97,88
137,IND,NYK,20121118,76,88
138,ORL,TOR,20121118,86,97
139,CLE,PHI,20121118,79,86
140,BRK,SAC,20121118,99,90
141,GSW,OKC,20121118,109,119
142,BOS,DET,20121118,83,103
143,CHI,POR,20121118,94,102
144,HOU,LAL,20121118,108,119
145,MIL,CHA,20121119,98,102
146,IND,WAS,20121119,96,89
147,ORL,ATL,20121119,72,81
148,DEN,MEM,20121119,97,92
149,GSW,DAL,20121119,105,101
150,LAC,SAS,20121119,92,87
151,HOU,UTA,20121119,91,102
152,TOR,PHI,20121120,98,106
153,NYK,NOH,20121120,102,80
154,BRK,LAL,20121120,90,95
155,TOR,CHA,20121121,97,98
156,PHI,CLE,20121121,83,92
157,NOH,IND,20121121,107,115
158,DET,ORL,20121121,74,90
159,WAS,ATL,20121121,100,101
160,SAS,BOS,20121121,112,100
161,MIL,MIA,20121121,106,113
162,LAC,OKC,20121121,111,117
163,CHI,HOU,20121121,89,93
164,DEN,MIN,20121121,101,94
165,NYK,DAL,20121121,111,114
166,POR,PHO,20121121,87,114
167,LAL,SAC,20121121,97,113
168,BRK,GSW,20121121,93,102
169,ATL,CHA,20121123,101,91
170,CLE,ORL,20121123,104,108
171,OKC,BOS,20121123,100,108
172,LAC,BRK,20121123,76,86
173,TOR,DET,20121123,90,91
174,NYK,HOU,20121123,103,131
175,SAS,IND,20121123,104,97
176,LAL,MEM,20121123,98,106
177,GSW,DEN,20121123,91,102
178,NOH,PHO,20121123,108,111
179,SAC,UTA,20121123,102,104
180,MIN,POR,20121123,95,103
181,LAC,ATL,20121124,93,104
182,OKC,PHI,20121124,116,109
183,CHA,WAS,20121124,108,106
184,CLE,MIA,20121124,108,110
185,LAL,DAL,20121124,115,89
186,CHI,MIL,20121124,93,86
187,UTA,SAC,20121124,97,108
188,MIN,GSW,20121124,85,96
189,DET,NYK,20121125,100,121
190,SAS,TOR,20121125,111,106
191,POR,BRK,20121125,85,98
192,BOS,ORL,20121125,116,110
193,PHO,PHI,20121125,101,104
194,NOH,DEN,20121125,84,102
195,NYK,BRK,20121126,89,96
196,SAS,WAS,20121126,118,92
197,POR,DET,20121126,101,108
198,MIL,CHI,20121126,93,92
199,CLE,MEM,20121126,78,84
200,CHA,OKC,20121126,69,114
201,DEN,UTA,20121126,103,105
202,NOH,LAC,20121126,105,98
203,PHO,CLE,20121127,91,78
204,DAL,PHI,20121127,98,100
205,TOR,HOU,20121127,101,117
206,MIN,SAC,20121127,97,89
207,IND,LAL,20121127,79,77
208,SAS,ORL,20121128,110,89
209,POR,WAS,20121128,82,84
210,CHA,ATL,20121128,91,94
211,BRK,BOS,20121128,95,83
212,PHO,DET,20121128,77,117
213,DAL,CHI,20121128,78,101
214,TOR,MEM,20121128,82,103
215,NYK,MIL,20121128,102,88
216,UTA,NOH,20121128,96,84
217,HOU,OKC,20121128,98,120
218,MIN,LAC,20121128,95,101
219,SAS,MIA,20121129,100,105
220,DEN,GSW,20121129,105,106
221,PHI,CHA,20121130,104,98
222,BRK,ORL,20121130,98,86
223,PHO,TOR,20121130,97,101
224,CLE,ATL,20121130,113,111
225,POR,BOS,20121130,78,96
226,WAS,NYK,20121130,87,108
227,DET,MEM,20121130,78,90
228,MIL,MIN,20121130,85,95
229,UTA,OKC,20121130,94,106
230,IND,SAC,20121130,97,92
231,DEN,LAL,20121130,103,122
232,POR,CLE,20121201,118,117
233,BRK,MIA,20121201,89,102
234,PHI,CHI,20121201,88,93
235,UTA,HOU,20121201,116,124
236,OKC,NOH,20121201,100,79
237,BOS,MIL,20121201,88,91
238,MEM,SAS,20121201,95,99
239,DET,DAL,20121201,77,92
240,IND,GSW,20121201,92,103
241,SAC,LAC,20121201,81,116
242,PHO,NYK,20121202,99,106
243,ORL,LAL,20121202,113,103
244,POR,CHA,20121203,118,112
245,CLE,DET,20121203,79,89
246,MIL,NOH,20121203,81,102
247,TOR,DEN,20121203,110,113
248,LAC,UTA,20121203,105,104
249,ORL,GSW,20121203,102,94
250,MIN,PHI,20121204,105,88
251,MIA,WAS,20121204,101,105
252,OKC,BRK,20121204,117,111
253,IND,CHI,20121204,80,76
254,LAL,HOU,20121204,105,107
255,PHO,MEM,20121204,98,108
256,NYK,CHA,20121205,100,98
257,POR,IND,20121205,92,99
258,MIN,BOS,20121205,94,104
259,GSW,DET,20121205,104,97
260,DEN,ATL,20121205,104,108
261,CHI,CLE,20121205,95,85
262,LAL,NOH,20121205,103,87
263,MIL,SAS,20121205,99,110
264,ORL,UTA,20121205,81,87
265,TOR,SAC,20121205,100,107
266,DAL,LAC,20121205,90,112
267,NYK,MIA,20121206,112,92
268,DAL,PHO,20121206,97,94
269,DEN,IND,20121207,92,89
270,BOS,PHI,20121207,94,95
271,WAS,ATL,20121207,95,104
272,GSW,BRK,20121207,109,102
273,CHI,DET,20121207,108,104
274,CLE,MIN,20121207,73,91
275,MEM,NOH,20121207,96,89
276,CHA,MIL,20121207,93,108
277,HOU,SAS,20121207,92,114
278,TOR,UTA,20121207,99,131
279,LAL,OKC,20121207,108,114
280,ORL,SAC,20121207,82,91
281,PHO,LAC,20121208,99,117
282,SAS,CHA,20121208,132,102
283,GSW,WAS,20121208,101,97
284,PHI,BOS,20121208,79,92
285,DET,CLE,20121208,104,97
286,NOH,MIA,20121208,90,106
287,NYK,CHI,20121208,85,93
288,DAL,HOU,20121208,116,109
289,ATL,MEM,20121208,93,83
290,SAC,POR,20121208,99,80
291,TOR,LAC,20121209,83,102
292,MIL,BRK,20121209,97,88
293,IND,OKC,20121209,93,104
294,DEN,NYK,20121209,106,112
295,ORL,PHO,20121209,98,90
296,UTA,LAL,20121209,117,110
297,GSW,CHA,20121210,104,96
298,DET,PHI,20121210,97,104
299,ATL,MIA,20121210,92,101
300,SAS,HOU,20121210,134,126
301,SAC,DAL,20121210,96,119
302,TOR,POR,20121210,74,92
303,NYK,BRK,20121211,100,97
304,LAL,CLE,20121211,94,100
305,DEN,DET,20121211,101,94
306,WAS,NOH,20121211,77,70
307,LAC,CHI,20121211,94,89
308,CLE,IND,20121212,81,96
309,ATL,ORL,20121212,86,80
310,BRK,TOR,20121212,94,88
311,LAC,CHA,20121212,100,94
312,GSW,MIA,20121212,97,95
313,CHI,PHI,20121212,96,89
314,DAL,BOS,20121212,115,117
315,WAS,HOU,20121212,93,99
316,SAC,MIL,20121212,85,98
317,DEN,MIN,20121212,105,108
318,NOH,OKC,20121212,88,92
319,MEM,PHO,20121212,80,82
320,SAS,UTA,20121212,96,99
321,CHA,ATL,20121213,90,113
322,LAL,NYK,20121213,107,116
323,SAS,POR,20121213,90,98
324,PHI,IND,20121214,85,95
325,GSW,ORL,20121214,85,99
326,DAL,TOR,20121214,74,95
327,LAL,WAS,20121214,102,96
328,DET,BRK,20121214,105,107
329,MIL,CLE,20121214,90,86
330,BOS,HOU,20121214,89,101
331,MIN,NOH,20121214,113,102
332,SAC,OKC,20121214,103,113
333,UTA,PHO,20121214,84,99
334,MEM,DEN,20121214,94,99
335,GSW,ATL,20121215,115,93
336,ORL,CHA,20121215,107,98
337,IND,DET,20121215,88,77
338,WAS,MIA,20121215,72,102
339,CLE,NYK,20121215,102,103
340,BRK,CHI,20121215,82,83
341,DAL,MIN,20121215,106,114
342,LAC,MIL,20121215,111,85
343,BOS,SAS,20121215,88,103
344,MEM,UTA,20121215,99,86
345,HOU,TOR,20121216,96,103
346,LAL,PHI,20121216,111,98
347,DEN,SAC,20121216,122,97
348,NOH,POR,20121216,94,95
349,MIN,ORL,20121217,93,102
350,LAC,DET,20121217,88,76
351,HOU,NYK,20121217,109,96
352,CHI,MEM,20121217,71,80
353,SAS,OKC,20121217,93,107
354,SAC,PHO,20121217,90,101
355,TOR,CLE,20121218,113,99
356,ATL,WAS,20121218,100,95
357,UTA,BRK,20121218,92,90
358,MIN,MIA,20121218,92,103
359,BOS,CHI,20121218,89,100
360,IND,MIL,20121218,93,98
361,PHI,DAL,20121218,100,107
362,SAS,DEN,20121218,106,112
363,NOH,GSW,20121218,96,103
364,CHA,LAL,20121218,100,101
365,UTA,IND,20121219,84,104
366,BRK,NYK,20121219,86,100
367,WAS,ORL,20121219,83,90
368,DET,TOR,20121219,91,97
369,OKC,ATL,20121219,100,92
370,CLE,BOS,20121219,91,103
371,PHI,HOU,20121219,103,125
372,CHA,PHO,20121219,104,121
373,MIL,MEM,20121219,80,90
374,GSW,SAC,20121219,127,131
375,NOH,LAC,20121219,77,93
376,OKC,MIN,20121220,93,99
377,MIA,DAL,20121220,110,95
378,DEN,POR,20121220,93,101
379,ATL,PHI,20121221,80,99
380,ORL,TOR,20121221,90,93
381,MIL,BOS,20121221,99,94
382,IND,CLE,20121221,99,89
383,WAS,DET,20121221,68,100
384,CHI,NYK,20121221,110,106
385,DAL,MEM,20121221,82,92
386,NOH,SAS,20121221,94,99
387,CHA,GSW,20121221,100,115
388,SAC,LAC,20121221,85,97
389,CHI,ATL,20121222,75,92
390,DET,WAS,20121222,96,87
391,UTA,MIA,20121222,89,105
392,MEM,HOU,20121222,96,121
393,IND,NOH,20121222,81,75
394,CLE,MIL,20121222,94,82
395,CHA,DEN,20121222,88,110
396,PHO,POR,20121222,93,96
397,LAL,GSW,20121222,118,115
398,PHI,BRK,20121223,92,95
399,MIN,NYK,20121223,91,94
400,UTA,ORL,20121223,97,93
401,DAL,SAS,20121223,91,129
402,LAC,PHO,20121223,103,77
403,POR,SAC,20121223,96,108
404,BOS,BRK,20121225,93,76
405,NYK,LAL,20121225,94,100
406,OKC,MIA,20121225,97,103
407,HOU,CHI,20121225,120,97
408,DEN,LAC,20121225,100,112
409,MIA,CHA,20121226,105,92
410,NOH,ORL,20121226,97,94
411,CLE,WAS,20121226,87,84
412,DET,ATL,20121226,119,126
413,PHI,MEM,20121226,99,89
414,BRK,MIL,20121226,93,108
415,HOU,MIN,20121226,87,84
416,TOR,SAS,20121226,80,100
417,LAL,DEN,20121226,114,126
418,NYK,PHO,20121226,99,97
419,GSW,UTA,20121226,94,83
420,SAC,POR,20121226,91,109
421,DAL,OKC,20121227,105,111
422,BOS,LAC,20121227,77,106
423,PHO,IND,20121228,91,97
424,ORL,WAS,20121228,97,105
425,CHA,BRK,20121228,81,97
426,ATL,CLE,20121228,102,94
427,MIA,DET,20121228,99,109
428,TOR,NOH,20121228,104,97
429,DEN,DAL,20121228,106,85
430,HOU,SAS,20121228,116,122
431,LAC,UTA,20121228,116,114
432,NYK,SAC,20121228,105,106
433,PHI,GSW,20121228,89,96
434,POR,LAL,20121228,87,104
