,visitor,home,dates,visitor_score,home_score
0,PHI,BOS,20221018,117,126
1,LAL,GSW,20221018,109,123
2,ORL,DET,20221019,109,113
3,WAS,IND,20221019,114,107
4,HOU,ATL,20221019,107,117
5,NOP,BRK,20221019,130,108
6,NYK,MEM,20221019,112,115
7,CHI,MIA,20221019,116,108
8,CLE,TOR,20221019,105,108
9,OKC,MIN,20221019,108,115
10,CHO,SAS,20221019,129,102
11,DEN,UTA,20221019,102,123
12,DAL,PHO,20221019,105,107
13,POR,SAC,20221019,115,108
14,MIL,PHI,20221020,90,88
15,LAC,LAL,20221020,103,97
16,NOP,CHO,20221021,124,112
17,SAS,IND,20221021,137,134
18,CHI,WAS,20221021,100,102
19,ORL,ATL,20221021,98,108
20,TOR,BRK,20221021,105,109
21,BOS,MIA,20221021,111,104
22,DET,NYK,20221021,106,130
23,MEM,HOU,20221021,129,122
24,UTA,MIN,20221021,132,126
25,DEN,GSW,20221021,128,123
26,PHO,POR,20221021,111,113
27,SAS,PHI,20221022,114,105
28,DET,IND,20221022,115,124
29,BOS,ORL,20221022,126,120
30,CLE,CHI,20221022,128,96
31,TOR,MIA,20221022,109,112
32,HOU,MIL,20221022,105,125
33,MEM,DAL,20221022,96,137
34,OKC,DEN,20221022,117,122
35,LAC,SAC,20221022,111,109
36,POR,LAL,20221023,106,104
37,CHO,ATL,20221023,126,109
38,WAS,CLE,20221023,107,117
39,UTA,NOP,20221023,122,121
40,MIN,OKC,20221023,116,106
41,SAC,GSW,20221023,125,130
42,PHO,LAC,20221023,112,95
43,IND,PHI,20221024,106,120
44,TOR,MIA,20221024,98,90
45,ORL,NYK,20221024,102,115
46,BOS,CHI,20221024,102,120
47,UTA,HOU,20221024,108,114
48,BRK,MEM,20221024,124,134
49,SAS,MIN,20221024,115,106
50,DEN,POR,20221024,110,135
51,DET,WAS,20221025,99,120
52,DAL,NOP,20221025,111,113
53,LAC,OKC,20221025,94,108
54,GSW,PHO,20221025,105,134
55,ORL,CLE,20221026,92,103
56,ATL,DET,20221026,118,113
