,visitor,home,dates,visitor_score,home_score
0,GSW,BRK,20201222,99,125
1,LAC,LAL,20201222,116,109
2,CHO,CLE,20201223,114,121
3,NYK,IND,20201223,107,121
4,MIA,ORL,20201223,107,113
5,WAS,PHI,20201223,107,113
6,NOP,TOR,20201223,113,99
7,MIL,BOS,20201223,121,122
8,ATL,CHI,20201223,124,104
9,SAS,MEM,20201223,131,119
10,DET,MIN,20201223,101,111
11,SAC,DEN,20201223,124,122
12,UTA,POR,20201223,120,100
13,DAL,PHO,20201223,102,106
14,NOP,MIA,20201225,98,111
15,GSW,MIL,20201225,99,138
16,BRK,BOS,20201225,123,95
17,DAL,LAL,20201225,115,138
18,LAC,DEN,20201225,121,108
19,ATL,MEM,20201226,122,112
20,OKC,CHO,20201226,109,107
21,CLE,DET,20201226,128,119
22,ORL,WAS,20201226,130,120
23,PHI,NYK,20201226,109,89
24,IND,CHI,20201226,125,106
25,TOR,SAS,20201226,114,119
26,MIN,UTA,20201226,116,111
27,HOU,POR,20201226,126,128
28,PHO,SAC,20201226,103,106
29,DAL,LAC,20201227,124,73
30,SAS,NOP,20201227,95,98
31,ORL,WAS,20201227,120,113
32,BRK,CHO,20201227,104,106
33,PHI,CLE,20201227,94,118
34,MIL,NYK,20201227,110,130
35,BOS,IND,20201227,107,108
36,GSW,CHI,20201227,129,128
37,PHO,SAC,20201227,116,100
38,MIN,LAL,20201227,91,127
39,MEM,BRK,20201228,116,111
40,DET,ATL,20201228,120,128
41,UTA,OKC,20201228,110,109
42,HOU,DEN,20201228,111,124
43,POR,LAL,20201228,115,107
44,NYK,CLE,20201229,95,86
45,GSW,DET,20201229,116,106
46,BOS,IND,20201229,116,111
47,CHI,WAS,20201229,115,107
48,TOR,PHI,20201229,93,100
49,MIL,MIA,20201229,144,97
50,ORL,OKC,20201229,118,107
51,NOP,PHO,20201229,86,111
52,DEN,SAC,20201229,115,125
53,MIN,LAC,20201229,101,124
54,MIL,MIA,20201230,108,119
55,ATL,BRK,20201230,141,145
56,MEM,BOS,20201230,107,126
57,CHO,DAL,20201230,118,99
58,LAL,SAS,20201230,121,107
59,POR,LAC,20201230,105,128
60,CLE,IND,20201231,99,119
61,CHI,WAS,20201231,133,130
62,PHI,ORL,20201231,116,92
63,SAC,HOU,20201231,119,122
64,NYK,TOR,20201231,83,100
65,NOP,OKC,20201231,113,80
66,PHO,UTA,20201231,106,95
67,MEM,CHO,20210101,108,93
68,MIA,DAL,20210101,83,93
69,BOS,DET,20210101,93,96
70,ATL,BRK,20210101,114,96
71,CHI,MIL,20210101,96,126
72,WAS,MIN,20210101,130,109
73,LAL,SAS,20210101,109,103
74,PHO,DEN,20210101,106,103
75,LAC,UTA,20210101,100,106
76,POR,GSW,20210101,123,98
77,SAC,HOU,20210102,94,102
78,NYK,IND,20210102,106,102
79,OKC,ORL,20210102,108,99
80,CHO,PHI,20210102,112,127
81,CLE,ATL,20210102,96,91
82,TOR,NOP,20210102,116,120
83,BOS,DET,20210103,122,120
84,WAS,BRK,20210103,123,122
85,LAL,MEM,20210103,108,94
86,DEN,MIN,20210103,124,109
87,UTA,SAS,20210103,130,109
88,DAL,CHI,20210103,108,118
89,LAC,PHO,20210103,112,107
90,POR,GSW,20210103,122,137
91,CLE,ORL,20210104,83,103
92,CHO,PHI,20210104,101,118
93,NYK,ATL,20210104,113,108
94,OKC,MIA,20210104,90,118
95,BOS,TOR,20210104,126,114
96,DAL,HOU,20210104,113,100
97,DET,MIL,20210104,115,125
98,IND,NOP,20210104,118,116
99,SAC,GSW,20210104,106,137
100,UTA,BRK,20210105,96,130
101,LAL,MEM,20210105,94,92
102,MIN,DEN,20210105,116,123
103,SAS,LAC,20210105,116,113
104,CHI,POR,20210105,111,108
105,HOU,IND,20210106,107,114
106,CLE,ORL,20210106,94,105
107,WAS,PHI,20210106,136,141
108,CHO,ATL,20210106,102,94
109,BOS,MIA,20210106,107,105
110,UTA,NYK,20210106,100,112
111,DET,MIL,20210106,115,130
112,OKC,NOP,20210106,111,110
113,TOR,PHO,20210106,115,123
114,LAC,GSW,20210106,108,101
115,CHI,SAC,20210106,124,128
116,PHI,BRK,20210107,109,122
117,CLE,MEM,20210107,94,90
118,DAL,DEN,20210107,124,117
119,SAS,LAL,20210107,118,109
120,MIN,POR,20210107,117,135
121,PHO,DET,20210108,105,110
122,WAS,BOS,20210108,107,116
123,CHO,NOP,20210108,118,110
124,OKC,NYK,20210108,101,89
125,ORL,HOU,20210108,90,132
126,BRK,MEM,20210108,110,115
127,UTA,MIL,20210108,131,118
128,LAC,GSW,20210108,105,115
129,CHI,LAL,20210108,115,117
130,TOR,SAC,20210108,144,123
